10.14,866770748
10.14.1,867069840
10.14.2,867219962
10.15,867774919
10.15.1,867922101
11.0,868154497
11.0.1,868213803
11.0.2,868296054
11.1,868717812
11.1.1,868979005
11.2,869211274
11.2.1,869508127
11.3,869788073
11.3.1,870219485
11.4,870431770
11.4.1,870532270
11.5,870793548
11.5.1,870955358
11.5.2,871037908
11.5.3,871348244
11.6,871402450
11.6.1,871485299
11.6.2,871653773
11.6.3,871734906
11.7,871945404
11.7.1,872039188
11.7.2,872512256
11.8,872871565
11.8.1,873065139
11.8.2,873179542
11.8.3,873268593
11.9,873405240
11.10,874026957
11.11,874597933
11.11.1,874737645
11.11.2,874866463
11.12,875207617
11.12.1,875324987
11.13,875982796
11.13.1,876043897
11.13.2,876246541
11.13.3,876417981
11.14,876653063
11.14.1,876912643
11.15,877632067
12.0,877725436
